name,sku,description,stock,image_url,handle,source_url,product_type,vehicle_brand,vehicle_model,emission_standard,part_name,vehicle_type,model_variant
"CarXNeo Black Phantom Ultra 150W 3.0"""" Tri-Colour Dual Laser Bi-LED Fog Lamp Projector (BP-104-3C-2L) - (Universal Fit","PRZ-FOGLA-00011","The Pinnacle of Automotive Lighting. Dominate the most extreme driving conditions with the CarXNeo Black Phantom Ultra 150W . As the flagship of our Ultra Series, this 3.0-inch projector combines a massive 150W output with advanced Dual Laser technology to deliver an unprecedented 700-meter beam throw . One Light. Three Modes. No Compromise. Unlike standard high-power lights, the Ultra 150W features 3-Colour switchback technology . Using your car's original switch, you can instantly adapt to the","0","","carxneo-black-phantom-ultra-150w-3-colour-dual-laser-fog-lamp-projector","https://eauto.co.in/products/carxneo-black-phantom-ultra-150w-3-colour-dual-laser-fog-lamp-projector","Fog Lamp","Re","","","CarXNeo Black Phantom Ultra 150W 3.0"""" Tri-Colour Dual Laser Bi-LED Fog Lamp Projector (BP-104-3C-2L) - (Universal Fit","",""
"CarXNeo Black Phantom 110W 3.0"""" Single Colour Dual Laser Bi-LED Fog Lamp Projector (BP-101-6000K-2L)-Ultra-Long Range Highway Edition (Universal Fit","PRZ-FOGLA-00012","Surgical Precision. Extreme Distance. The CarXNeo Black Phantom Dual Laser Edition is the undisputed flagship of our projector lineup. Engineered for high-speed highway cruising and off-road expeditions, this 110W monster features a dedicated dual-laser module that creates a high-density """"hotspot"""" for unmatched distance visibility. Why Choose Dual Laser? While standard LEDs provide a wide spread, our Dual Laser technology acts as a long-range surgical beam, cutting through the dark with a massiv","0","","carxneo-black-phantom-110w-dual-laser-fog-lamp-projector-thar-creta-nexon","https://eauto.co.in/products/carxneo-black-phantom-110w-dual-laser-fog-lamp-projector-thar-creta-nexon","Fog Lamp","Re","","","CarXNeo Black Phantom 110W 3.0"""" Single Colour Dual Laser Bi-LED Fog Lamp Projector (BP-101-6000K-2L)-Ultra-Long Range Highway Edition (Universal Fit","",""
"CarXNeo Black Phantom 70W 3.0"""" Tri-Colour Bi-LED Fog Lamp Projector (BP-103-3C) - All-Weather 3000K/4300K/6000K (Universal 3.0"""" Fit","PRZ-FOGLA-00013","The Ultimate All-Weather Fog Light Upgrade for Indian Roads Never let unpredictable weather compromise your safety again. The CarXNeo Black Phantom 70W Tri-Colour Bi-LED Projector is designed to replace weak stock halogens with high-performance optics. Whether you are navigating the dense winter fog of North India or heavy monsoon downpours in the South, this projector ensures crystal-clear visibility. 3 Modes in 1: Switch Colors on the Go Using your car's original switch, you can instantly togg","0","","carxneo-black-phantom-70w-tri-color-led-projector-fog-lamp-creta-nexon-thar-swift","https://eauto.co.in/products/carxneo-black-phantom-70w-tri-color-led-projector-fog-lamp-creta-nexon-thar-swift","Fog Lamp","Re","","","CarXNeo Black Phantom 70W 3.0"""" Tri-Colour Bi-LED Fog Lamp Projector (BP-103-3C) - All-Weather 3000K/4300K/6000K (Universal 3.0"""" Fit","",""
"CarXNeo Black Phantom 90W 3.0"""" Single Colour Bi-LED Fog Lamp Projector (BP-102-6000K-1C) High Power (Universal Fit","PRZ-FOGLA-00014","OEM Style. Aftermarket Power. Tired of the weak factory fog lights on your new Maruti Brezza or Hyundai Venue ? The CarXNeo Black Phantom 90W Edition (Single Colour) is the perfect balance of raw power and refined optics. While this is a universal 3.0-inch projector , it is designed to be a """"drop-in"""" upgrade for India's most popular cars. It replaces the dull stock halogens found in base and mid-variants of the Tata Punch , Maruti Swift , and Mahindra Scorpio-N with a sharp, high-intensity white","0","","carxneo-90w-led-fog-lamp-projector-creta-nexon-thar","https://eauto.co.in/products/carxneo-90w-led-fog-lamp-projector-creta-nexon-thar","Fog Lamp","Re","","","CarXNeo Black Phantom 90W 3.0"""" Single Colour Bi-LED Fog Lamp Projector (BP-102-6000K-1C) High Power (Universal Fit","",""
"CarXNeo VisionX 4K Dual Dash Cam","PRZ-DASHC-00015","The Gold Standard for Road Safety in India Upgrade to the highest level of detail with the CarXNeo VisionX 4K (Model XD40) . Designed for drivers who refuse to compromise on safety, this 8-Megapixel system captures every detail on Indian roads with four times the clarity of standard HD. Whether it’s for insurance claims or legal protection, the VisionX 4K is your most reliable witness. Why Upgrade to VisionX 4K? Ultra HD 4K Clarity: Capture license plates and small details with 8-Megapixel front","0","","best-4k-dual-dash-cam-for-car-india-visionx","https://eauto.co.in/products/best-4k-dual-dash-cam-for-car-india-visionx","Dash Cam","Re","","","CarXNeo VisionX 4K Dual Dash Cam","",""
"CarXNeo VisionX 2K Dual Dash Cam (XD 20) – Front & Rear Protection with WiFi App & 24H Parking Mode (Hardwire Kit Included)","PRZ-DASHC-00016","CarXNeo VisionX 2K: Your Extra Set of Eyes on the Road Drive with confidence knowing you're protected from every angle. The CarXNeo VisionX 2K (Model XD 20) is a premium dual-camera system designed to take the stress out of driving. Whether you’re navigating daily traffic or leaving your car parked in a busy lot, the VisionX 2K is always on guard. Why the VisionX 2K belongs in your car: Total Coverage: Capture the road ahead in stunning 2K QHD (4MP) and the view behind you in 1080P HD . This dua","0","","best-2k-dual-dash-cam-for-car-india-visionx","https://eauto.co.in/products/best-2k-dual-dash-cam-for-car-india-visionx","Dash Cam","Re","","","CarXNeo VisionX 2K Dual Dash Cam (XD 20) – Front & Rear Protection with WiFi App & 24H Parking Mode (Hardwire Kit Included)","",""
"BikeXNeo Grip-X Alpha Charge Mobile Holder | USB-C Charging | Fits Motorcycle, Bicycle, Scooter | With Shock Absorption Technology | 1 Year Warranty","PRZ-MOBIL-00017","BikeXNeo Grip-X Alpha Charge Mobile Holder or Mobile Mount Key Features: Grip-X Alpha Charge – Zero Vibration. 100% Grip. 4-Axis Anti-Vibration system protects phone camera. One-Twist Lock for super quick and secure mounting. USB-C Charging (Fast Charging QC 3.0) for charging your phone quickly Strong, shake-free grip even on rough roads. Works with all smartphone sizes . Fits motorcycles, scooters, EVs & bicycles . Use maps, calls & music safely while riding. Durable build for daily and long-di","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/files/bikexneo-grip-x-alpha-charge-mobile-holder-usb-c-charging-fits-motorcycle-bicycle-scooter-with-shock-absorption-technology-1-year-warranty-426.jpg?v=1768979772","bikexneo-grip-x-alpha-charge-mobile-holder-usb-c-charging-fits-motorcycle-bicycle-scooter-with-shock-absorption-technology","https://eauto.co.in/products/bikexneo-grip-x-alpha-charge-mobile-holder-usb-c-charging-fits-motorcycle-bicycle-scooter-with-shock-absorption-technology","Mobile Holder","","Alpha","","BikeXNeo Grip-X Alpha Charge Mobile Holder | USB-C Charging | Fits Motorcycle, Bicycle, Scooter | With Shock Absorption Technology | 1 Year Warranty","Scooter",""
"BikeXNeo Grip-X Alpha Mobile Holder | Fits Motorcycle, Bicycle, Scooter | With Shock Absorption Technology | 1 Year Warranty","PRZ-MOBIL-00018","BikeXNeo Grip-X Alpha Mobile Holder Key Features: Grip-X Alpha – Zero Vibration. 100% Grip. 4-Axis Anti-Vibration system protects phone camera. One-Twist Lock for super quick and secure mounting. Strong, shake-free grip even on rough roads. Works with all smartphone sizes . Fits motorcycles, scooters, EVs & bicycles . Use maps, calls & music safely while riding. Durable build for daily and long-distance rides. Easy installation with no complicated steps. 1-Year warranty included. Material Used:","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/files/bikexneo-grip-x-alpha-mobile-holder-fits-motorcycle-bicycle-scooter-with-shock-absorption-technology-1-year-warranty-786.jpg?v=1768806206","bikexneo-grip-x-alpha-mobile-holder-fits-motorcycle-bicycle-scooter-with-shock-absorption-technology","https://eauto.co.in/products/bikexneo-grip-x-alpha-mobile-holder-fits-motorcycle-bicycle-scooter-with-shock-absorption-technology","Mobile Holder","","Alpha","","BikeXNeo Grip-X Alpha Mobile Holder | Fits Motorcycle, Bicycle, Scooter | With Shock Absorption Technology | 1 Year Warranty","Scooter",""
"CarXNeo PureZen Air Purifier & Cleaner","PRZ-AIRPU-00019","Breathe clean air wherever you go with this portable HEPA air purifier. Removes 99.97% of dust, smoke, and allergens - perfect for car, home, office, or travel. Whisper-quiet, lightweight, and always fresh.  Key Features Powerful 4-in-1 Purification – Combines HEPA-13 filter, UV-C light, and aroma tabs to keep your air clean and fresh. Removes 99.97% Pollutants – Eliminates dust, smoke, allergens, and bad odours in minutes. Compact & Portable – Sleek design fits perfectly in car cup holders, de","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/files/carxneo-purezen-air-purifier-cleaner-for-car-travel-office-desk-1-year-warranty-lowers-aqi-removes-smoke-dust-850.png?v=1763364652","carxneo-purezen-air-purifier-cleaner-for-car-travel-office-desk-1-year-warranty-lowers-aqi-removes-smoke-dust","https://eauto.co.in/products/carxneo-purezen-air-purifier-cleaner-for-car-travel-office-desk-1-year-warranty-lowers-aqi-removes-smoke-dust","Air Purifier","Re","","","CarXNeo PureZen Air Purifier & Cleaner","",""
"Clutch Plate","PRZ-CLUTC-00020","High-quality Paper type Clutch Plates that provide extra torque and smooth gear change with minimum wear and tear Product Info Brand OES Clutch Plate Compatible Vehicle Brand & Model Dream Yuga No. of Clutch Plates 4 Weight 0.5 Kg approx. Special Features Smooth Gear Change Longer Clutch Life Better Pick-Up Extra Torque *Images displayed are for representation purpose only. Actual product may differ.","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/files/clutch-plate-for-honda-dream-yuga-paper-type-103.jpg?v=1761029948","clutch-plate-for-honda-dream-yuga-paper-type","https://eauto.co.in/products/clutch-plate-for-honda-dream-yuga-paper-type","Clutch Plate","Honda","Dream","","Clutch Plate","Motorcycle",""
"Clutch Plate","PRZ-CLUTC-00021","High quality Clutch Plates provides extra torque and smooth gear change with minimum wear and tear Product Info Brand OES Clutch Plate Compatible Vehicle Brand & Model KTM Duke 200 | RC 200 | Set of 6 Package Includes Set of 6 Clutch Plates Weight 0.5Kg approx. Special Features Smooth Gear Change Longer Clutch Life Better Pick-Up Extra Torque *Images displayed are for representation purpose only. Actual product may differ.","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/files/clutch-plate-for-ktm-duke-200-rc-set-of-6-paper-type-643.jpg?v=1761029056","clutch-plate-for-ktm-duke-200-rc-200-set-of-6","https://eauto.co.in/products/clutch-plate-for-ktm-duke-200-rc-200-set-of-6","Clutch Plate","KTM","Rc","","Clutch Plate","Motorcycle","200cc"
"eAuto Bike Carburetor","PRZ-CARBU-00022","eAuto precision Carburetor are designed to blend fuel and air in the correct ratio across the dynamic operating range of your motorcycle engine. Product Info Brand eAuto Compatible Vehicle Brand & Model Honda Hornet 160 BS3 & BS4 | Unicorn 160 BS3 & BS4 | | Until 2018 Model Package Includes 1 Carburetor Weight 500g approx. Material Aluminium Special Features Built with precision to ensure 100% satisfaction Blends fuel and air in the correct ratio across the complete operating range of your motor","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/files/eauto-bike-carburetor-for-honda-hornet-160-bs3-bs4-unicorn-until-2018-model-201.jpg?v=1762780637","eauto-bike-carburetor-for-honda-hornet-160-bs3-bs4-unicorn-160-bs3-bs4","https://eauto.co.in/products/eauto-bike-carburetor-for-honda-hornet-160-bs3-bs4-unicorn-160-bs3-bs4","Carburetor","Honda","Unicorn","BS4","eAuto Bike Carburetor","Motorcycle","160cc"
"Universal Upsell Placeholder","PRZ-PART-00023","","0","","universal-upsell","https://eauto.co.in/products/universal-upsell","","","","","Universal Upsell Placeholder","",""
"BikeXNeo Power Beam Pro 48W Motorcycle LED Headlight Bulb – India’s Most Powerful | 1 Year Warranty | Universal H4 Fit | Waterproof","PRZ-LEDBU-00024"," Introducing India’s most powerful motorcycle LED headlight bulb – the BikeXNeo Power Beam Pro 48W  . Built for serious riders ️ , this high-performance LED delivers an unmatched level of brightness that literally turns night into day ➡️ . Whether you're conquering highways ️ , riding through fog ️ , or navigating poorly lit roads  , the Power Beam Pro ensures crystal-clear vision ️ every time.  With its dual-beam functionality , high-speed turbo cooling ❄️ , and IP68 waterproof rating","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/files/bikexneo-power-beam-pro-48w-motorcycle-led-headlight-bulb-indias-most-powerful-1-year-warranty-universal-h4-fit-waterproof-954.png?v=1770232571","bikexneo-power-beam-pro-48w-motorcycle-led-headlight-bulb-high-performance-plug-play-universal-fit-1-year-warranty","https://eauto.co.in/products/bikexneo-power-beam-pro-48w-motorcycle-led-headlight-bulb-high-performance-plug-play-universal-fit-1-year-warranty","LED Bulb","Re","","","BikeXNeo Power Beam Pro 48W Motorcycle LED Headlight Bulb – India’s Most Powerful | 1 Year Warranty | Universal H4 Fit | Waterproof","Motorcycle",""
"BikeXNeo Power Beam 36W Motorcycle LED Headlight Bulb – 1 Year Warranty | Ultra Bright, Plug & Play | H4 Universal Fit","PRZ-LEDBU-00025"," Illuminate your rides with the BikeXNeo Power Beam 36W LED Headlight Bulb , designed for motorcyclists seeking superior visibility  and enhanced safety ️ . Delivering 3X the brightness of standard halogen bulbs, this LED headlight ensures crystal-clear vision during nighttime  and adverse weather conditions ️.  Its plug-and-play design allows for effortless installation , with no need for extra wiring or relays. ❄️ Crafted with a high-speed cooling fan and waterproof capability  , the Po","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/files/bikexneo-power-beam-36w-motorcycle-led-headlight-bulb-1-year-warranty-ultra-bright-plug-play-h4-universal-fit-181.jpg?v=1761549795","bikexneo-power-beam-36w-motorcycle-led-headlight-bulb-ultra-bright-plug-play-h4-universal-fit-1-year-warranty","https://eauto.co.in/products/bikexneo-power-beam-36w-motorcycle-led-headlight-bulb-ultra-bright-plug-play-h4-universal-fit-1-year-warranty","LED Bulb","Re","","","BikeXNeo Power Beam 36W Motorcycle LED Headlight Bulb – 1 Year Warranty | Ultra Bright, Plug & Play | H4 Universal Fit","Motorcycle",""
"CarXNeo PantherBeam SE 130 Watt Powerful Car LED Bulb | Set of 2 | H7 | 6000K | 2 Years Warranty","PRZ-LEDBU-00026","CarXNeo PantherBeam 130 Watts Powerful Car LED Bulb | Set of 2 | H27 | 6000K Product Info Brand CarXNeo Package Includes 2 LED Bulbs, 1 Instruction Manual, 1 Warranty Card Wattage 130W Socket Type H7 Colour Temperature 6000K Material Aluminium + Copper Weight 0.5 Kg approx. Warranty 2 Years  CarXNeo – India's leading car accessories brand , offers a comprehensive range of high-quality, innovative products that undergo rigorous testing before launch . From LED lights , dash cameras , infotainm","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/files/carxneo-pantherbeam-se-130-watt-powerful-car-led-bulb-set-of-2-h7-6000k-years-warranty-583.jpg?v=1761549786","carxneo-pantherbeam-se-130-watt-powerful-car-led-bulb-set-of-2-h7-6000k-2-years-warranty","https://eauto.co.in/products/carxneo-pantherbeam-se-130-watt-powerful-car-led-bulb-set-of-2-h7-6000k-2-years-warranty","LED Bulb","","","","CarXNeo PantherBeam SE 130 Watt Powerful Car LED Bulb | Set of 2 | H7 | 6000K | 2 Years Warranty","",""
"CarXNeo PantherBeam SE 130 Watt Powerful Car LED Bulb | Set of 2 | H27 | 6000K | 2 Years Warranty","PRZ-LEDBU-00027","CarXNeo PantherBeam 130 Watts Powerful Car LED Bulb | Set of 2 | H27 | 6000K Product Info Brand CarXNeo Package Includes 2 LED Bulbs, 1 Instruction Manual, 1 Warranty Card Wattage 130W Socket Type H27 Colour Temperature 6000K Material Aluminium + Copper Weight 0.5 Kg approx. Warranty 2 Years  CarXNeo – India's leading car accessories brand , offers a comprehensive range of high-quality, innovative products that undergo rigorous testing before launch . From LED lights , dash cameras , infotain","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/files/carxneo-pantherbeam-se-130-watt-powerful-car-led-bulb-set-of-2-h27-6000k-years-warranty-794.jpg?v=1761549778","carxneo-pantherbeam-se-130-watt-powerful-car-led-bulb-set-of-2-h27-6000k-2-years-warranty","https://eauto.co.in/products/carxneo-pantherbeam-se-130-watt-powerful-car-led-bulb-set-of-2-h27-6000k-2-years-warranty","LED Bulb","","","","CarXNeo PantherBeam SE 130 Watt Powerful Car LED Bulb | Set of 2 | H27 | 6000K | 2 Years Warranty","",""
"CarXNeo PantherBeam SE 130 Watt Powerful Car LED Bulb | Set of 2 | 9006 | 6000K | 2 Years Warranty","PRZ-LEDBU-00028","CarXNeo PantherBeam 130 Watts Powerful Car LED Bulb | Set of 2 | 9006 | 6000K Product Info Brand CarXNeo Package Includes 2 LED Bulbs, 1 Instruction Manual, 1 Warranty Card Wattage 130W Socket Type 9006 Colour Temperature 6000K Material Aluminium + Copper Weight 0.5 Kg approx. Warranty 2 Years  CarXNeo – India's leading car accessories brand , offers a comprehensive range of high-quality, innovative products that undergo rigorous testing before launch . From LED lights , dash cameras , infota","0","https://cdn.shopify.com/s/files/1/0415/7846/3390/files/carxneo-pantherbeam-se-130-watt-powerful-car-led-bulb-set-of-2-9006-6000k-years-warranty-188.jpg?v=1761549769","carxneo-pantherbeam-se-130-watt-powerful-car-led-bulb-set-of-2-9006-6000k-2-years-warranty","https://eauto.co.in/products/carxneo-pantherbeam-se-130-watt-powerful-car-led-bulb-set-of-2-9006-6000k-2-years-warranty","LED Bulb","","","","CarXNeo PantherBeam SE 130 Watt Powerful Car LED Bulb | Set of 2 | 9006 | 6000K | 2 Years Warranty","",""
